index,state,year,no2
631,RI,2001,24.771068639412977
632,RI,2002,23.306034595979977
633,RI,2003,24.8928675274905
634,RI,2004,21.931671680106582
635,RI,2005,21.625995451570745
636,RI,2006,20.6226750245727
637,RI,2007,18.008914089572365
638,RI,2008,17.46564079529399
639,RI,2009,15.717658285049517
640,RI,2010,14.516673472874926
641,RI,2011,18.013610748448148
642,RI,2012,14.908086963519748
643,RI,2013,13.891703475951026
644,RI,2014,16.486309423003547
645,RI,2015,19.636069794751247
646,RI,2016,15.706831711298175
647,SC,2000,18.40131352997908
648,SC,2001,16.277924446232735
649,SC,2002,15.48569786938752
650,SC,2003,13.980878442215936
651,SC,2004,14.569981493310323
652,SC,2005,13.530723678517392
653,SC,2006,12.238672915035469
654,SC,2007,11.379824439013083
655,SC,2008,12.312345010369821
656,SC,2009,10.542306205033679
657,SC,2010,12.311389483008373
658,SC,2011,14.068932806433777
659,SC,2012,12.14957095557876
660,SC,2013,10.35325774580084
661,SC,2014,9.907881020164838
662,SC,2015,11.629752714483379
663,SC,2016,9.914055032668983
664,SD,2000,12.428870672788275
665,SD,2001,12.111800854466335
666,SD,2002,8.627030138235186
667,SD,2003,11.588230900130924
668,SD,2004,9.309911373570058
669,SD,2005,8.017753558462216
670,SD,2006,8.72233034068271
671,SD,2007,6.352865164887037
672,SD,2008,8.780217856081597
673,SD,2009,6.9219892492286395
674,SD,2010,7.922073466280443
675,SD,2011,7.360146293446167
676,SD,2012,8.251580589839532
677,SD,2013,8.54080907489025
678,SD,2014,8.821061408221595
679,SD,2015,8.065561148383537
680,SD,2016,7.474338180620529
681,TN,2000,18.915638114861007
682,TN,2001,17.89611577133725
683,TN,2002,15.898548300241147
684,TN,2003,14.404941910445421
685,TN,2004,13.22986427891688
686,TN,2005,13.394716718933752
687,TN,2006,12.856304609666708
688,TN,2007,12.32231808450916
689,TN,2008,12.155581609872348
690,TN,2009,9.228824735567816
691,TN,2010,10.838172010222067
692,TN,2011,12.403102978927762
693,TN,2012,13.331705376409655
694,TN,2013,10.720062323648193
695,TN,2014,11.771379104568528
696,TN,2015,10.014092873406657
697,TN,2016,8.818173714501011
698,TX,2000,20.771329572809396
699,TX,2001,21.02693474632716
700,TX,2002,17.819140861526865
701,TX,2003,18.01310822079743
702,TX,2004,18.199288935400574
703,TX,2005,18.843790074669847
704,TX,2006,16.96237306870915
705,TX,2007,15.07721635305979
706,TX,2008,15.748836951019472
707,TX,2009,14.071915254802468
708,TX,2010,14.218275242522438
709,TX,2011,13.60455614735157
710,TX,2012,13.878859453532385
711,TX,2013,13.185241644310155
712,TX,2014,13.446636538227613
713,TX,2015,12.881459524076378
714,TX,2016,12.357846943567596
715,UT,2000,28.635831555271434
716,UT,2001,31.504340635945134
717,UT,2002,34.155754924994
718,UT,2003,30.240144587709914
719,UT,2004,30.302662624188635
720,UT,2005,28.26530112101271
721,UT,2006,24.2869939751622
722,UT,2007,22.269589100803408
723,UT,2008,22.34248525771784
724,UT,2009,20.18123867258599
725,UT,2010,15.877792685857003
726,UT,2011,16.78533282864877
727,UT,2012,18.406211815544182
728,UT,2013,18.362332077140895
729,UT,2014,16.318023496307546
730,UT,2015,17.535987676330265
731,UT,2016,13.827989479512219
732,VA,2000,21.80310516218562
733,VA,2001,22.16695365965302
734,VA,2002,21.206440487578835
735,VA,2003,20.989212304848976
736,VA,2004,20.202059648035164
737,VA,2005,18.75690479538861
738,VA,2006,16.418762914909703
739,VA,2007,14.795571494573522
740,VA,2008,14.621314549885447
741,VA,2009,13.271187292096721
742,VA,2010,13.396197954031154
743,VA,2011,14.458960882225847
744,VA,2012,14.894066900665193
745,VA,2013,12.30030565421247
746,VA,2014,12.544179004742288
747,VA,2015,12.297232339654732
748,VA,2016,11.457694620400096
749,VT,2000,15.606713217876838
750,VT,2001,14.771688198525633
751,VT,2002,16.00338485097578
752,VT,2003,15.708900557293804
753,VT,2004,11.201582397573087
754,VT,2005,7.780268066638623
755,VT,2006,9.493255905963553
756,VT,2007,7.860893657764211
757,VT,2008,9.809901068942123
758,VT,2009,8.2630873305017
759,VT,2010,9.257825705215296
760,VT,2011,10.919326012596654
761,VT,2012,12.60931504921438
762,VT,2013,10.333241539715756
763,VT,2014,11.333488052036879
764,VT,2015,13.770491409145663
765,VT,2016,10.35323792728179
766,WA,2000,25.151929149286413
767,WA,2001,24.526659480437417
768,WA,2002,20.611627451048466
769,WA,2003,17.455012392385623
770,WA,2004,16.515891113718233
771,WA,2005,14.987249838596886
772,WA,2006,10.605655779794237
773,WA,2007,11.830180907799209
774,WA,2008,15.027689115010448
775,WA,2009,13.4463456415992
776,WA,2010,10.815990460694923
777,WA,2011,10.14758741178072
778,WA,2012,11.780908976553821
779,WA,2013,10.501217273696236
780,WA,2014,16.039210049594907
781,WA,2015,17.81497736281944
782,WA,2016,14.988867477945824
783,WI,2000,19.318564509836282
784,WI,2001,18.754531562629833
785,WI,2002,16.1598109956327
786,WI,2003,16.13711834814788
787,WI,2004,12.416500430950935
788,WI,2005,14.207170164106088
789,WI,2006,13.840967457382316
790,WI,2007,10.714233092015947
791,WI,2008,12.228460747584093
792,WI,2009,12.28216301075029
793,WI,2010,12.1911052769043
794,WI,2011,11.923599282639334
795,WI,2012,13.097763018333591
796,WI,2013,13.40900152562446
797,WI,2014,12.56312721881533
798,WI,2015,12.589677077130446
799,WI,2016,12.545611231087477
800,WV,2000,15.14777097728494
801,WV,2001,18.54768335806099
802,WV,2002,18.2452707253087
803,WV,2003,17.84343901643011
804,WV,2004,19.164562514004007
805,WV,2005,13.623496625282785
